 , , , , , ,
Длина отвода = 63.30 м, , , , , , 
Уклон отвода = 0.00079, , , , , , 
 , , , , , , 
КРУГОВАЯ КРИВАЯ,100,0.58, , ,106,Приказ Н
547км + 357 м - 546 км + 930 м,80,0.26, , ,82,Приказ Н 
Длина = 427.12 м, ,-0.16, , ,<15,Приказ Н 
Возвышение = 50.00 мм, , , , , ,  
Радиус = 866.51 м, , , , , , 
1, ,1,11,1111, ,4 
4,55,6,77,8,99,9 
 ,df,3e4,dcf, ,5,44 
3,ee,r4,f,gg,hh,j 
g, , ,g, ,gg,55 
we,2,22,qg,w , ,c
fg,5,7u7,g,a3,a,f
b,67,yhjk,g,de3333,df444,bg
nn,6y7,y6,g,0,hyjkl,dddd
mm,j,h6,g,1q2w3e4,lo,cds
oo,2q,5t5,g,de4,kl,1q2w
y6u,zas,4,g,cxz,jn,dfcv
nnm,dc,def,g,vgbh,gh,gh
8cv,rft,f,g,rfr566,gb,qwer
xzs,789,fd4,g,nh6,d,nj
2w3e4r5,rfvgh,hnj,hjk,64,ghj,7890000


